CODIGO,nombre,CATEGORIA,altitud,latitud,longitud,MUNICIPIO,SUBZONA_HIDROGRAFICA,1,2,3,4,5,6,7,8,9,10,11,12
21210170,PALOGRANDE HACIENDA [21210170],Pluviométrica,2212,4.33188889,-75.40133333,Ibagué,Río Coello,45.12,64.435,134.845,137.81,157.205,122.1571429,104.0047619,72.68571429,109.4428571,115.4619048,94.7047619,61.4
21210150,CASCADA LA [21210150],Pluviométrica,3280,4.28438889,-75.54233333,Cajamarca,Río Coello,33.85,47.75,69,96.725,89.15,61.23809524,44.28571429,32.0952381,45.04761905,52,72.66666667,50.5
21210140,PLAN EL [21210140],Pluviométrica,388,4.38375,-75.49686111,Cajamarca,Río Coello,47.195,37,77.21,94.625,104.625,79.83333333,55.19047619,46.17619048,63.66666667,63.43809524,66.96190476,52.92
21210130,DELICIAS LAS [21210130],Pluviométrica,295,4.38033333,-75.51175,Cajamarca,Río Coello,38.6,49.4,101.65,127.38,132.55,98.80952381,83.96666667,59.51904762,84.38095238,107.1952381,82.80952381,67.995
21210120,ESMERALDA LA [21210120],Pluviográfica,1965,4.49091667,-75.23941667,Ibagué,Río Coello,99.86,134.025,188.795,182.785,167.58,109.0761905,106.1571429,116.7285714,121.4428571,202.9809524,152.4761905,119.575
21210110,PLACER EL [21210110],Pluviográfica,2170,4.52094444,-75.27788889,Ibagué,Río Coello,73.265,87.89,184.37,204.39,234.915,175.6380952,149.3952381,143.1857143,170.9333333,206.4428571,150.1047619,106.1
21210080,SECRETO EL [21210080],Pluviográfica,1482,4.49427778,-75.28994444,Ibagué,Río Coello,72.975,92.725,170.9,195.54,232.385,151.8904762,133.0666667,113.6380952,162.5809524,153.5238095,135.0761905,95.855
21210030,PASTALES [21210030],Pluviográfica,1602,4.51105556,-75.30083333,Ibagué,Río Coello,50.825,105.08,160.235,183.855,206.275,159.347619,119.1761905,119.4190476,148.8333333,147.5285714,101.6190476,89.285
21210020,JUNTAS LAS [21210020],Pluviográfica,1765,4.55630556,-75.32163889,Ibagué,Río Coello,39.1,52.03,111.29,133.32,155.955,121.9952381,106.7047619,97.91428571,121.3095238,113.452381,76.73809524,51.645
21250500,LIBANO [21250500],Pluviométrica,1649,4.92188889,-75.07586111,Líbano,Río Lagunilla y Otros Directos al Magdalena,146.205,164.11,229.49,264.11,267.17,120.4714286,105.8666667,94.22857143,162.3857143,235.452381,192.3,152.905
21250100,ESTRELLA LA [21250100],Pluviométrica,331,4.76183333,-74.89869444,Venadillo,Río Lagunilla y Otros Directos al Magdalena,63.85,66.7,119.7,202.1,208.085,82.04761905,71.79047619,75.76190476,95.66666667,156.3333333,116.7619048,60.45
21250070,SIERRA LA [21250070],Pluviométrica,472,4.80011111,-74.93569444,Lérida,Río Lagunilla y Otros Directos al Magdalena,73.075,82.57,123.135,198.085,207.495,97.06190476,74.14285714,74.36666667,119.8904762,149.7238095,102.1904762,77.71
21240110,BODEGA LA [21240110],Pluviométrica,2670,4.73561111,-75.13891667,Santa Isabel,Río Lagunilla y Otros Directos al Magdalena,73.855,88.19,125.375,145.48,147.21,78.21428571,64.36190476,69.45714286,122.9285714,122.9952381,132.3333333,98.1
21255110,SANTA ISABEL [21255110],Climática Ordinaria,2817,4.70175,-75.13183333,Santa Isabel,Río Totare,66.94,86.44,145.545,186.4,181.49,96.84761905,70.07619048,70.99047619,117.5619048,165.2,149.7,86.345
21240070,ANZOATEGUI [21240070],Pluviométrica,1814,4.6375,-75.09,Anzoátegui,Río Totare,120.685,124.53,182.26,200.2,202.99,124.7142857,85.67142857,66.66666667,136,217.5238095,213.4761905,136.85
21240030,SAN JUAN DE CHINA [21240030],Pluviométrica,1980,4.54244444,-75.07538889,Ibagué,Río Totare,71.815,112.185,139.04,188.49,167.965,85.69047619,52.06190476,72.36666667,131.947619,174.6285714,125.5809524,100.9
21220050,ACEITUNO EL [21220050],Pluviométrica,680,4.35344444,-75.05305556,Ibagué,Río Coello,39.1,31.35,98.5,92,108.25,54,37.33333333,26.33333333,69.80952381,83.57142857,71.66666667,41.65
22075050,PARAMO DE YERBABUENA  - AUT [22075050],Climática Principal,3394,4.07580556,-75.70083333,Roncesvalles,Rïo Cucuana,21.74,21.235,47.62,66.465,57.49,42.55714286,48.26190476,28.82380952,28.1952381,40.71904762,52.46666667,32.715
21210190,RESACA LA [21210190],Pluviográfica,1250,4.2745,-75.14841667,San Luis (Tolima),Río Luisa y otros directos al Magdalena,75.63,80.32,135.115,218.965,145.965,75.83333333,42.28095238,40.76190476,94.16190476,159.1857143,117.4142857,84.4
21185090,NATAIMA - AUT [21185090],Agrometeorológica,393,4.18813889,-74.96047222,Espinal,Río Luisa y otros directos al Magdalena,36.445,26.9,89.805,110.825,111.4,51.11904762,38.54761905,22.8047619,75.06190476,84.87619048,66.9047619,49.78
21180040,ROVIRA 2 [21180040],Pluviométrica,848,4.2425,-75.2425,Rovira,Río Luisa y otros directos al Magdalena,107.05,109.65,176.05,239.8,223,107.8571429,57.9047619,70.38095238,130.1428571,200.9047619,221.4761905,139.35
4,referencia_4,NaN,0,5.408,-74.44,NaN,NaN,47.02291934,58.12957746,84.58463509,126.4145967,124.6501921,57.84353393,41.78104994,54.98822023,88.44955186,122.0057618,93.77644046,59.50550576
2,referencia_2,NaN,0,5.408,-76.154,NaN,NaN,52.54542254,64.20974178,93.55199531,119.1694836,117.8901408,67.30798122,51.00422535,55.21279343,88.45199531,113.4678404,98.89190141,65.55293427
